Datum;Infektionen
20200302;269
20200303;258
20200304;356
20200305;373
20200306;584
20200307;748
20200308;990
20200309;1521
20200310;1943
20200311;2426
20200312;2680
20200313;3285
20200314;3300
20200315;3407
20200316;4558
20200317;3820
20200318;3956
20200319;3404
20200320;3982
20200321;3235
20200322;2670
20200323;3831
20200324;2847
20200325;3111
20200326;2771
20200327;2848
20200328;2689
20200329;2147
20200330;3021
20200331;2263
20200401;2666
20200402;2405
20200403;2465
20200404;1928
20200405;1707
20200406;2195
20200407;1908
20200408;1766
20200409;1683
20200410;1388
20200411;1199
20200412;1163
20200413;1135
20200414;1168
20200415;1121
20200416;1000
20200417;945
20200418;826
20200419;692
20200420;884
20200421;692
20200422;665
20200423;649
20200424;566
20200425;469
20200426;384
20200427;495
20200428;351
20200429;278
20200430;249
20200501;107



