Account_Name;Real_Name
LFC;Liverpool FC 
ManCity;Manchester City
LCFC;Leicester City
ChelseaFC;Chelsea FC
ManUtd;Manchester United
Wolves;Wolverhampton Wanderers
SheffieldUnited;Sheffield United
SpursOfficial;Tottenham Hotspur
Arsenal;Arsenal Football Club
BurnleyOfficial;Burnley FC
CPFC;Crystal Palace F.C.
Everton;Everton
NUFC;Newcastle United FC
SouthamptonFC;Southampton FC
OfficialBHAFC;Brighton & Hove Albion
WestHam;West Ham United
WatfordFC;Watford Football Club
afcbournemouth;AFC Bournemouth
AVFCOfficial;Aston Villa
NorwichCityFC;Norwich City FC
